Source: Keine befreiende Novelle für Tymoshenko durch das Parlament|Result: no <unk> amendment to the european parliament 's legislative proposals <eos>|Target: Parliament Does Not Support Amendment Freeing Tymoshenko
Source: Wie er lernte, ein Unternehmen zu führen:|Result: how he learned to lead a company : <eos>|Target: On how he learned to run a business:
Source: "Während der ganzen Jahre im Geschäft frage ich immer: "Warum tust du Dinge?". Und die Antwort, die du immer bekommst, ist: "Oh, so wird es einfach gemacht."|Result: " during the whole year in business i always ask : " why do you do things ? " and the answer you always get is : " oh , so it 's easy to do " . <eos>|Target: "Throughout the years in business, I'd always ask: "Why do you do things?" and the answers you invariably get are: "Oh, that's just the way it's done.""
Source: Niemand weiß, warum er tut, was er tut. Niemand im Geschäft denkt wirklich eingehend über Dinge nach.|Result: nobody knows why he is doing what he does , and nobody in business really thinks about things . <eos>|Target: Nobody knows why they do what they do, nobody thinks about things very deeply in business.
Source: Das habe ich festgestellt.|Result: i have noted that . <eos>|Target: That's what I found.
Source: Jobs führt seine Bemühungen weiter aus, die Buchführung bei Apple zu rationalisieren.|Result: jobs continue to work to streamline the accounting of apple . <eos>|Target: Jobs goes on to detail his efforts to streamline accounting at Apple.
Source: Verblüfft, wie Kosten aufgezeichnet wurden - meistens begann man mit "Standardkosten", die auf bloße Vermutung hin beziffert wurden und die dann mit "Abweichung" angepasst wurden - entwickelte er eine automatisierte Fabrik, die sicherstellte, dass die Geschäftskosten bis ins Kleinste bestimmt werden konnten.|Result: <unk> , how cost was recorded - mostly started with " <unk> " , which was measured on mere guess and then adjusted with " deviation " - he developed an automated factory that was able to determine the <unk> to the smallest . <eos>|Target: Baffled by the way costs were recorded - often beginning with a "standard cost" that amounted to a blind guess, which was then adjusted with a "variance" - he developed an automated factory that ensured they could determine business costs down to the second.
Source: Wie der Papst veralbert wurde:|Result: as the pope was <unk> : <eos>|Target: On pranking the Pope:
Source: Jobs erzählt von der "Blue Box", die er mit Steve Wozniak gebaut hat, ein Gerät, mit dem man sich in die Telefongesellschaft einschleichen und Ferngespräche umsonst führen konnte.|Result: jobs tell about the " blue box " he built with steve <unk> , a device that could lead to the <unk> <unk> and <unk> for free . <eos>|Target: Jobs recounts the "Blue Box" that he built with Steve Wozniak - a device that allowed people to effectively hack the phone company and make long distance calls for free.
Source: Über das Gerät wurde schon viel geschrieben, aber Jobs Begeisterung, als er die Blue Box als ein Akt der Selbstbemächtigung beschreibt, ist ansteckend.|Result: the device has already been written a lot , but jobs enthusiasm when it describes the blue box as an act of <unk> is infectious . <eos>|Target: The device has been widely written about before, but Jobs" euphoria here in describing the Blue Box as an act of empowerment is infectious.
Source: Er beschreibt, wie Wozniak und er die Box testen würden, indem sie ein gebührenpflichtiges Telefon verwenden, einen Anruf tätigen und sich dann von einem AT&T-Netzwerk in ein anderes verbinden, während sie so viele Satelliten wie möglich durchschleifen.|Result: it describes how <unk> and he would test the box by using a <unk> phone , making a call and then connect from a <unk> to another , while <unk> as many satellites as possible . <eos>|Target: He describes how he and Wozniak would test the box by using a pay phone, placing a call, and then connecting from one AT&T network to another while looping in as many satellites as possible.
Source: "Wir schickten Sachen ein halbes Dutzend mal um den Globus und wenn man ins Telefon grölte, kam es eine Minute später im Telefon nebenan wieder heraus", erzählt Jobs kichernd.|Result: " we sent things half a dozen times around the globe and when you get into the phone , there was a minute later in the phone next door , " jobs tell <unk> . <eos>|Target: "We were wrapping things around the globe a half dozen times and you would yell through the pay phone and it would come through a minute later in the pay phone next door," Jobs says with a giggle.
Source: "Wir waren jung und wir lernten, dass wir selbst etwas aufbauen können, das Billionen von Dollar an Infrastruktur auf der ganzen Welt kontrollieren kann."|Result: " we were young and we learned that we can build something that can control trillions of dollars of infrastructure around the world . " <eos>|Target: "We were young and what we learned was that we could build something ourselves that could control billions of dollars of infrastructure around the world."
Source: Wir beide, wir wussten nicht viel, aber wir konnten dieses kleine Ding bauen, das eine gigantische Sache kontrollieren kann, das war eine unglaubliche Lektion und ich glaube nicht, dass es ohne sie Apple geben würde.|Result: we both knew not much , but we could build this little thing that can control a huge thing , that was an incredible lesson and i do not believe that there would be apple without it . <eos>|Target: Us two, we didn't know much, but we could build a little thing that could control a giant thing - it was an incredible lesson, and I don't think there would have ever been Apple without it.
Source: Jobs erzählt weiter von einer glorreichen Streich, den Wozniak und er beinahe abgezogen habe, als sie mitten in der Nacht via Blue Box im Vatikan anriefen und mit dem Papst sprechen wollten, während sie so gut sie konnten Henry Kissinger nachmachten.|Result: jobs continue to tell of a glorious <unk> , the <unk> and he almost withdrew when they wanted to <unk> in the middle of the night via blue box in the vatican and talk to the pope , while they were able to <unk> henry kissinger . <eos>|Target: Jobs goes on to detail one glorious prank that he and Wozniak nearly pulled of, ringing the Vatican via the Blue Box in the middle of the night and requesting to speak to the Pope, while doing their very best impression of Henry Kissinger.
Source: Da mehrere Mitglieder der katholischen Hierarchie mitten in der Nacht herbeigerufen wurden, um mit dem amerikanischen Diplomaten zu sprechen, mussten die beiden loslachen, bevor der Papst selbst ans Telefon kam.|Result: since several members of the catholic hierarchy were <unk> in the middle of the night in order to speak with the american diplomat , the two <unk> had to wait before the pope himself came to the phone . <eos>|Target: As various members of the Catholic hierarchy were summoned in the middle of the night to talk to the American diplomat, the two burst into giggles just before the Pope himself was roused to come answer the phone.
Source: Wie er sich in die Technik verliebte (und unvorbereitet Bill Hewlett anrief):|Result: how he fell in love with technology ( and <unk> bill hewlett <unk> ): <eos>|Target: On falling in love with technology (and cold-calling Bill Hewlett):
Source: Im Alter von 12 Jahren, als er nach Ersatzteilen suchte, um einen Frequenzzähler zu bauen, suchte er nach Bill Hewlett im Telefonbuch und rief ihn an.|Result: at the age of 12 , when he sought spare parts to build a <unk> , he was looking for bill hewlett in the phone book and called him . <eos>|Target: At the age of 12, on the hunt for spare parts to build a frequency counter, he looked up Bill Hewlett in the phone book and gave him a call.
Source: Kurz nach ihrem 20-minütigen Telefonat erhielt Jobs für den Sommer einen Teilzeitjob bei Hewlett-Packard.|Result: shortly after her <unk> telephone call , jobs for the summer received a <unk> at hewlett - packard . <eos>|Target: Not long after their 20-minute phone conversation, Jobs landed a part-time summer job at Hewlett-Packard.
Source: "Das hatte einen bemerkenswerten Einfluss auf mich. Es war das einzige Unternehmen, das ich in dem Alter gesehen hatte und es formte meine Ansichten darüber, was ein Unternehmen war und wie gut es seine Mitarbeiter behandelte."|Result: " this was a remarkable influence on me , it was the only company i had seen in the age and it <unk> my views on what a company was and how well it treated its employees . " <eos>|Target: "That made a remarkable influence on me, it was the only company I had seen at that age and it formed my view of what a company was and how well they treated their employees."
Source: Später wurde Jobs einer der HP-Mitarbeiter, die die Forschungslabors des Unternehmens in Palo Alto besuchten, wo er "den ersten Desktop-Computer, der jemals hergestellt wurde" sah.|Result: later , jobs became one of the <unk> that visited the company 's <unk> in palo alto , where he saw " the first <unk> ever made " . <eos>|Target: Jobs later became one of the HP employees to visit the company's Palo Alto research labs, where he saw "the first desktop computer ever made."
Source: Er war so groß wie ein Koffer, hatte einen kleinen Bildschirm mit Braunscher Röhre und ich verliebte mich in ihn.|Result: he was as big as a suitcase , had a small screen with <unk> tube and i love him . <eos>|Target: It was as big as a suitcase, had a small cathode ray tube display, and I fell in love with it.
Source: Ich würde bei HP als Teenager nach oben klettern und an dieser Maschine hängen und Programme für sie schreiben.|Result: i would hang up at hp as a teenager and hang on this machine and write programs for you . <eos>|Target: I would get a ride up to HP as a teenager and hang around that machine and write programs for it.
Source: Wie man Innovationen verbessert:|Result: how to improve innovation : <eos>|Target: On improvising innovation:
Source: Mehrmals im Interview spricht Jobs darüber, wie man spontan neue Produkte erfindet.|Result: several times in the interview , jobs talk about how to <unk> new products spontaneously . <eos>|Target: At several points in the interview, Jobs talks about inventing new products on the fly.
Source: Schon früh in seiner Karriere, als er einige Platinen einbaute, wurde er von einem Kunden gebeten, den ganzen Computer zusammenzubauen.|Result: early in his career , when he <unk> some <unk> , he was asked by a client to <unk> the whole computer . <eos>|Target: Early in his career, as he set out to sell a handful of circuit boards, he was asked by a customer to assemble the full computer.
Source: Er arbeitete mit einer Zahlungsfrist von nur 30 Tagen und musste sowohl den Zusammenbau als auch die Auslieferung der fertigen Geräte durchdenken.|Result: he worked with a payment period of only 30 days and had to <unk> both the assembly and delivery of the finished equipment . <eos>|Target: Working on only 30 days of credit, he had to figure out both the assembly and delivery of the finished devices.
Source: Später bei Apple erinnert er sich an die Probleme, die er bei der Entwicklung einer Computermaus hatte:|Result: later , apple reminds himself of the problems he had in developing a <unk> : <eos>|Target: Later while at Apple, he recalls the struggles he faced in developing a computer mouse:
Source: "Ich erinnere mich an durchschlagende Argumente... Sie schrien mich an, dass es fünf Jahre dauern würde [um eine Maus zu bauen, die $ 300 kosten würde] und ich stand auf, ging raus und fand einen Hersteller."|Result: " i remember <unk> arguments ... you told me that it would take five years [ to build a mouse that would cost $ 300 ] and i stood up , went out and found a manufacturer . " <eos>|Target: "I remember having dramatic arguments...they were screaming at me that it would take five years [to build a mouse that would cost $300], and I got fed up and went outside and found a designer."
Source: Neunzig Tage später hatten wir eine Maus, die wir für $ 15 bauen lassen konnten. Das war unglaublich glaubwürdig.|Result: ninety days later , we had a mouse that we could build for $ 15 , which was incredibly credible . <eos>|Target: Ninety days later, we had a mouse we could build for $15 that was incredibly reliable.
Source: Über große Unternehmen, die nachlassen:|Result: over large companies : <eos>|Target: On great companies losing steam:
Source: Lange bevor er Apple wiederaufleben ließ, sah Jobs die Wege, auf denen so viele Industriegiganten mit ihren Visionen in Stolpern gerieten und die Kontrolle über ihre Aktien verloren, voraus.|Result: long before he revived apple , jobs saw the paths in which so many <unk> came to pass through their visions and lost control over their shares . <eos>|Target: Long before he led the revival of Apple, Jobs presciently foresaw the ways in which so many industry leaders would stumble in their vision, and lose control of their market share.
Source: "Sagen wir, Sie arbeiten bei IBM oder Xerox, also machen Sie einen besseren Kopierer oder Drucker, na und?"|Result: " tell us you work with ibm or xerox , so make a better <unk> or printer , na and ? " <eos>|Target: "Say you work at IBM or Xerox, so you make a better copier or printer, so what?"
Source: Sie besitzen das Aktienmonopol, also ist das Unternehmen nicht mehr erfolgreich.|Result: they have the <unk> , so the company is no longer successful . <eos>|Target: You have a monopoly of the market share, so the company's not more successful.
Source: Verkäufe und Marketing machen es erfolgreicher, also [sind es solche Menschen], die letztendlich die Unternehmen führen und das Produkt, mit denen die Leute aus der Entscheidungsfindung gedrängt werden.|Result: sales and marketing make it more successful , so [ they are those people ] who ultimately lead companies and the product with which people are pushed out of decision - making . <eos>|Target: Sales and marketing makes it more successful, so [it's those kinds of people] who end up running companies and the product people get driven out of the decision-making forum.
Source: Das Produktgenie, das zu diese Monopolstellung geführt hat, wird von den Leuten, die kein Konzept haben bezüglich gute Produkte vs. schlechte Produkte, ausgerottet - Handwerkskunst notwendig.|Result: the <unk> , which has led to this monopoly , is necessary by people who have no concept of good products vs. bad products , <unk> - <unk> . <eos>|Target: The product genius that led to that monopolistic position is rotted out by people who have no conception of good products vs. bad products - the craftsmanship required.
Source: Das passierte bei Xerox...|Result: this happened at xerox ... <eos>|Target: That's what happened at Xerox...
Source: Xerox hätte die ganze Computerindustrie besitzen können.|Result: compaq would have been able to have the whole <unk> . <eos>|Target: Xerox could have owned the entire computer industry.
Source: Man hätte zehn Mal größer sein können, hätte das Microsoft der 1990er Jahre sein können...|Result: it could have been ten times greater , the microsoft of the 1990 ’s could have been ... <eos>|Target: It could have been ten times its size, could have been the Microsoft of the 90s...
Source: Sie haben die Niederlage vom Sieg erwischt.|Result: they have caught the defeat of victory . <eos>|Target: They grabbed defeat from victory.
Source: Über Innovation als Kunstform:|Result: innovation as an art form : <eos>|Target: On innovation as art form:
Source: "Es liegt jede Menge Handwerkskunst zwischen einer großartigen Idee und einem großartigen Produkt... wenn man diese großartige Idee entwickelt, verändert sie sich und wächst."|Result: " it is a lot of craftsmanship between a great idea and a great product ... if you develop this great idea , it changes and grows . " <eos>|Target: "There's a tremendous amount of craftsmanship between a great idea and a great product... as you evolve that great idea, it changes and grows."
Source: Man lernt viel über seine Feinheiten.|Result: you learn a lot about its nuances . <eos>|Target: You learn a lot about the subtleties of it.
Source: Man muss Abstimmungen vornehmen, bestimmte Dinge, die man nicht kann, aber Elektronen, Glas, Roboter, Fabriken.|Result: it is necessary to make votes , certain things that can not be done , but electrons , glass , robots , factories . <eos>|Target: There are tradeoffs you have to make - certain things you can't make electrons do, glass do, robots do, factories do.
Source: Man muss sich 5000 Sachen merken, diese Konzepte, und sie alle zusammenbringen...|Result: you must remember 5000 things , these concepts and bring them together all ... <eos>|Target: You have to keep 5,000 things in your brain - these concepts - fitting them all together...
Source: Letztendlich läuft es auf den Geschmack hinaus, es läuft darauf hinaus, dass man versucht, sich mit dem besten Zeug, das Menschen geschaffen haben, auseinander setzt und dann versucht, diese Sachen zu dem zusammenzubringen, was man macht.|Result: in the end , it goes on to taste , it goes on to try to deal with the best stuff that people have created and then try to bring these things together to what they do . <eos>|Target: Ultimately it comes down to taste - it comes down to trying to expose yourself to the best stuff humans have done, and then trying to bring those things in to what you're doing.
Source: Picasso sagte, dass gute Künstler kopieren, großartige Künstler klauen.|Result: picasso said that good artists copy , great artists <unk> . <eos>|Target: Picasso said that good artists copy, great artists steal.
Source: Wir sind immer schamlos im Stehlen großartiger Ideen.|Result: we are always <unk> in stealing great ideas . <eos>|Target: We've always been shameless about stealing great ideas.
Source: Teil dessen, was Macintosh großartig machte, war, dass die Leute, die dort arbeiten, Musiker, Dichter, Künstler, Zoologen, Historiker waren, die zufällig die besten Computerwissenschaftler der Welt sind.|Result: part of what macintosh made great was that the people who work there were musicians , poets , artists , <unk> , historians who , by chance , are the best <unk> in the world . <eos>|Target: It's part of what made the Macintosh great, was that the people who were working on it were musicians, poets, artists, zoologists, historians who just happened to be the best computer scientists in the world.
Source: Wäre es nicht die Computerbranche gewesen, würden sie in anderen Bereichen fantastische Dinge schaffen.|Result: if it were not the <unk> , they would create fantastic things in other areas . <eos>|Target: If not for computer science, they would be doing amazing things in other fields.
Source: Scalia und Thomas dinieren mit Gegnern der Gesundheitsgesetze, als Gericht Fall annimmt|Result: <unk> und thomas <unk> mit <unk> der <unk> , als <unk> <unk> . <eos>|Target: Scalia and Thomas dine with healthcare law challengers as court takes case
Source: An dem Tag, an dem der Supreme Court hinter verschlossenen Türen versammelt, um die politisch teilende Frage zu erörtern, ob man eine Anfechtung der Gesundheitsgesetze von Präsident Obama anhören wird, nahmen zwei seiner Richter, Antonin Scalia und Clarence Thomas, an einem Dinner teil, das von der Kanzlei gesponsort wurde, dass den Fall vor Gericht vertreten wird.|Result: on the day when the supreme court gathered behind closed doors to discuss the politically <unk> question of whether to listen to a challenge to president obama ’s <unk> , two of his judges , <unk> <unk> and <unk> thomas , took part in a dinner that was <unk> by the office that the case is represented in court . <eos>|Target: The day the Supreme Court gathered behind closed doors to consider the politically divisive question of whether it would hear a challenge to President Obama's healthcare law, two of its justices, Antonin Scalia and Clarence Thomas, were feted at a dinner sponsored by the law firm that will argue the case before the high court.
Source: Der Vorfall fand vergangenen Donnerstag statt, als sich alle neun Richter zu einer Besprechung trafen, um über die Petitionen zur Prüfung zu beraten.|Result: the incident took place last thursday , when all nine judges met to discuss petitions for consideration . <eos>|Target: The occasion was last Thursday, when all nine justices met for a conference to pour over the petitions for review.
Source: Eine der zu behandelten Fälle war eine Klage, die 26 Staaten gegen die weitreichende Reform des Gesundheitswesens erhoben haben, die vergangenes Jahr vom Kongress beschlossen wurden, ein Gesetz, das bei den konservativen Aktivisten überall in den USA zum Schlagwort wurde.|Result: one of the cases to be dealt with was a complaint that 26 states raised against the far - reaching reform of health care , which was decided by congress last year , a law that became the <unk> of conservative activists everywhere in the us . <eos>|Target: One of the cases at issue was a suit brought by 26 states challenging the sweeping healthcare overhaul passed by Congress last year, a law that has been a rallying cry for conservative activists nationwide.
Source: Die Richter stimmten der Anhörung zu. Tatsächlich wird im März eine 5 1/2-stündige Grundlagendiskussion erwartet, die vermutlich deren Ergebnis wird vermutlich den Präsidentschaftskampf 2012 ankurbeln, der zu dem Zeitpunkt, an dem die Gerichtsentscheidung bekannt gegeben wird, im vollen Gange sein wird.|Result: the judges agreed on the hearing , and indeed , in march , a 5 - year - old <unk> is expected to be expected , which is likely to boost the 2012 <unk> , which will be in full swing at the time when the <unk> is announced . <eos>|Target: The justices agreed to hear the suit; indeed, a landmark 5 1/2-hour argument is expected in March, and the outcome is likely to further roil the 2012 presidential race, which will be in full swing by the time the court's decision is released.
Source: Der Anwalt, der vor Gericht stehen und behaupten wird, dass das Gesetz zu kippen ist, wird vermutlich Paul Clement sein, einst Generalstaatsanwalt unter der Regierung von George W. Bush.|Result: the lawyer who is in court and who will claim that the law is over will probably be paul <unk> , formerly attorney general under george w. bush ’s administration . <eos>|Target: The lawyer who will stand before the court and argue that the law should be thrown out is likely to be Paul Clement, who served as U.S. solicitor general during the George W. Bush administration.
Source: Clements Kanzlei, Bancroft PLLC, war eine der fast zwei Dutzend Unternehmen, die das jährliche Dinner der Föderalistischen Gesellschaft unterstützte, eine alteingesessene Gruppe, die sich der Verteidigung konservativer Rechtsprinzipien widmet.|Result: <unk> firm , <unk> <unk> , was one of the nearly two dozen companies that supported the annual dinner of federalist society , a <unk> group dedicated to defending conservative <unk> . <eos>|Target: Clement's law firm, Bancroft PLLC, was one of almost two dozen firms that helped sponsor the annual dinner of the Federalist Society, a longstanding group dedicated to advocating conservative legal principles.
Source: Ein anderes Unternehmen, das das Dinner sponsorte, Jones Day, repräsentiert einen der Wirtschaftsverbände, die National Federation of Independent Business, die das Gesetz anfechten.|Result: another company , which represents the dinner <unk> , jones day , represents one of the <unk> , the national federation of independent business that contest the law . <eos>|Target: Another firm that sponsored the dinner, Jones Day, represents one of the trade associations that challenged the law, the National Federation of Independent Business.
Source: Ein weiterer Sponsor war der Pharmaziegigant Pfizer Inc., der finanziell am Ergebnis des Prozesses enorm beteiligt ist.|Result: another sponsor was <unk> pfizer inc. , who is financially involved in the process . <eos>|Target: Another sponsor was pharmaceutical giant Pfizer Inc, which has an enormous financial stake in the outcome of the litigation.
Source: Das Dinner fand wenige Stunden, nachdem das Gericht über den Fall beraten hatte, in einem Washingtoner Hotel statt.|Result: the dinner took place a few hours after the court had discussed the case in a washington hotel . <eos>|Target: The dinner was held at a Washington hotel hours after the court's conference over the case.
Source: Dienst hatte unter anderem Mitch McConnell, der Fraktionschef der Republikaner im Senat und ein erklärter Gegner der Gesundheitsreform|Result: the service had , among other things , mitch <unk> , the republican senate ’s <unk> , and a <unk> opponent of health care reform . <eos>|Target: In attendance was, among others, Mitch McConnell, the Senate's top Republican and an avowed opponent of the healthcare law.
Source: Die Gäste des Dinners? Scalia und Thomas.|Result: the guests of <unk> and thomas . <eos>|Target: The featured guests at the dinner? Scalia and Thomas.
Source: Das ist nichts Neues: Die beiden Richter besuchen seit Jahren Veranstaltungen der Föderalistischen Gesellschaft.|Result: that is nothing new : the two judges have been visiting events of federalist society for years . <eos>|Target: It's nothing new: The two justices have been attending Federalist Society events for years.
Source: Und das verstößt nicht gegen moralische Regeln.|Result: this is not contrary to moral rules . <eos>|Target: And it's nothing that runs afoul of ethics rules.
Source: In der Tat sich Richter vom Verhaltenskodex befreit, der die Handlungen der niederen Bundesrichter regelt.|Result: indeed , judges are exempt from the code of conduct governing the actions of the low - wage groups . <eos>|Target: In fact, justices are exempt from the Code of Conduct that governs the actions of lower federal justices.
Source: Wären sie es, würden sie wohl unter Grundsatz 4c des Kodex fallen, der folgendes besagt: "Ein Richter kann an Benefizveranstaltungen Gesetzes naher und anderer Organisationen teilnehmen, wobei der Richter kein Sprecher, Ehrengast oder laut Programm kein Gast einer solchen Veranstaltungen sein darf."|Result: if you were , you would probably fall under the principle of <unk> the code , which says : " a judge can participate in <unk> law near and other organisations , whereby the judge can not be a speaker , <unk> or , according to the programme , a guest of such events . " <eos>|Target: If they were, they arguably fell under code's Canon 4C, which states, "A judge may attend fund-raising events of law-related and other organizations although the judge may not be a speaker, a guest of honor, or featured on the program of such an event."
Source: Nichtsdestotrotz reichten die extreme Nähe von Scalia und Thomas zu zwei der mit dem Fall in Zusammenhang stehenden Kanzleien sowie zu einem Unternehmen mit einem massiven finanziellen Interesse an diesem aus, um Moral-und-Regierungsaktivisten zu alarmieren.|Result: nevertheless , the extreme proximity of <unk> and thomas to two of the law firms associated with the case , as well as a company with a massive financial interest in this , to <unk> . <eos> <eos>|Target: Nevertheless, the sheer proximity of Scalia and Thomas to two of the law firms in the case, as well as to a company with a massive financial interest, was enough to alarm ethics-in-government activists.
Source: "Dieser verblüffende Bruch mit Moral und der Gegensatz zum Kodex straft die Klagen einiger Richter Lüge, das Gericht halte sich an die gleichen Regeln, die für alle anderen Bundesrichter gelten", sagte Bob Edgar, Präsident des Common Cause, einer Bürgerrechtsbewegung in den USA.|Result: " this amazing break with morality and the contrast to the code <unk> the actions of some judges lie , the court is in line with the same rules that apply to all other <unk> , " said bob edgar , president of the common cause , a <unk> in the united states . <eos>|Target: "This stunning breach of ethics and indifference to the code belies claims by several justices that the court abides by the same rules that apply to all other federal judges," said Bob Edgar, the president of Common Cause.
Source: "Die Richter gewannen und dinnierten während einer Benefiziveranstaltung mit Rechtsanwälten mit schwebenden Verfahren am Gericht."|Result: " the judges won and <unk> during a trial with lawyers with suspended proceedings " . <eos>|Target: "The justices were wining and dining at a black-tie fundraiser with attorneys who have pending cases before the court."
Source: Ihr Auftreten und ihre Unterstützung einer Spendenaktion für diese Veranstaltung untergraben jeglichen Anspruch auf Unparteilichkeit und sind nicht akzeptabel.|Result: their actions and their support for a fundraising campaign undermine any claim to impartiality and are unacceptable . <eos>|Target: Their appearance and assistance in fundraising for this event undercuts any claims of impartiality, and is unacceptable.
Source: Scalia und Thomas zeigen wenig Rücksichtnahme auf Kritiker, die sagen, sie würden Gerichtsangelegenheit zu leicht mit Gruppen, die sich von der Tagesordnung leiten lassen, wie zum Beispiel der Föderalistischen Gesellschaft, vermischen.|Result: <unk> and thomas show little respect for critics who say they would be too easily mixed with groups that are guided by the agenda , such as federalist society . <eos>|Target: Scalia and Thomas have shown little regard for critics who say they too readily mix the business of the court with agenda-driven groups such as the Federalist Society.
Source: Und die Thomas' Ehefrau Ginni ist eine bekannte konservative Aktivistin.|Result: and thomas ' wife <unk> is a well - known conservative <unk> . <eos>|Target: And Thomas" wife, Ginni, is a high-profile conservative activist.
Source: Dagegen behaupten die Konservativen, dass es Richterin Elena Kagan sei, die ein moralisches Problem habe, nicht Scalia und Thomas.|Result: on the other hand , conservatives claim that it is judge elena <unk> who has a moral problem , not <unk> and thomas . <eos>|Target: Moreover, conservatives argue that it's Justice Elena Kagan who has an ethical issue, not Scalia and Thomas.
Source: Kagan war Generalstaatsanwältin unter der Obama-Regierung, als die ersten Gesetzesanfechtungen in erster Instanz vor Gericht kamen.|Result: <unk> was <unk> under the obama administration when the first <unk> came to court in first instance . <eos>|Target: Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.
Source: Ihre Kritiker drängten Kagan, sich selbst von der Anhörung des Falles wegen Voreingenommenheit zurückzuziehen, da sie zu sehr in der Verteidigung des Gesetzes engagiert sei, um unvoreingenommen zu sein.|Result: their critics urged <unk> to withdraw from the hearing of the case for bias , because they were too committed to defending the law in order to be impartial . <eos>|Target: Her critics have pushed for Kagan to recuse herself from hearing the case, saying that she was too invested in defending the law then to be impartial now.
Source: Kagan macht keine Anstalten, dies zu tun.|Result: <unk> makes no institution to do so . <eos>|Target: Kagan has given no indication she will do so.
Source: Boeing zieht Rekordauftrag von 18 Billionen Dollar an Land|Result: boeing is attracting $ 18 trillion in fuel prices . <eos>|Target: Boeing gets record $18-billion jetliner order
Source: Fluggesellschaft Emirate bestellt 50 zweigängige Flugzeuge vom Typ Boeing 777 mit einer Option auf 20 weitere Flugzeuge.|Result: airline emirates orders 50 <unk> aircraft from boeing 777 with an option to 20 more aircraft . <eos>|Target: Emirates airline orders 50 twin-aisle Boeing 777 jetliners with an option for 20 more.
Source: Außerdem verkauft Boeing sechs Boeing Dreamliner an Oman Air, ein Geschäft im Wert von mehr als 1 Billion Dollar.|Result: moreover , boeing sold six boeing <unk> to oman air , a business worth more than $ 1 trillion . <eos>|Target: Boeing also sells six Boeing Dreamliners to Oman Air, a deal worth more than $1 billion.
Source: Es ist wirklich eine seltene Nachricht, dass ein Unternehmen einen Auftrag über 50 Stück seiner Produkte bekommt.|Result: it is really a rare news that a company gets a contract over 50 pieces of its products . <eos>|Target: It's rarely news when a company gets an order for 50 units of its product.
Source: Aber es ist ein großes Geschäft, wenn das Unternehmen der Flugzeughersteller Boeing Co. ist und der Listenpreis für diese 50 Flugzeuge insgesamt bei einer Rekordsumme von 18 Billionen Dollar liegt.|Result: but it is a big business if the company of the <unk> boeing co. is and the total cost of these 50 aircraft is $ 18 trillion . <eos>|Target: But it's a big deal when the company is airplane-maker Boeing Co. and the list price for those 50 airplanes totals a record $18 billion.
Source: Ebenso ungewöhnlich ist der Auftraggeber von Boeing: der Mittlere Osten, eine wachsende Goldmine zukünftiger Flugzeugbestellungen.|Result: it is also unusual for boeing : the middle east , a growing <unk> of future <unk> . <eos>|Target: Just as big is where Boeing got the order: the Middle East, a growing gold mine of future airplane orders.
Source: In einer Prognose, die am Montag veröffentlicht wurde, schätzt das Chicagoer Unternehmen, dass Fluggesellschaften aus dem Mittleren Osten in den kommenden 20 Jahren 2.520 Flugzeuge im Wert von 450 Billionen Dollar benötigt.|Result: in a forecast published on monday , the chicago company estimates that medium - east airlines will need $ 450 trillion in <unk> aircraft in the next 20 years . <eos>|Target: In a forecast released Monday, the Chicago company estimates that airlines in the Middle East over the next 20 years will need 2,520 airplanes worth $450 billion.
Source: Boeing kündigte am Wochenende seinen größten Auftrag aller Zeiten für kommerzielle Flugzeuge an, gemessen am Wert der Bestellung: 50 zweigängige Boeing 777 Jets.|Result: boeing announced its largest order for commercial aircraft at the weekend , measured by the value of the order : 50 <unk> boeing 777 jets . <eos>|Target: Boeing over the weekend announced its biggest-ever order by dollar value for commercial airplanes - 50 twin-aisle Boeing 777 jets.
Source: Der Hammerauftrag kam von der Fluggesellschaft Emirates aus Dubai.|Result: the <unk> came from the airline emirates from dubai . <eos>|Target: The blockbuster order came from Emirates airline in Dubai.
Source: Die Fluggesellschaft hat außerdem, so kündigte Boeing es 2011 auf der Dubai Luftfahrtschau an, eine Option auf den Kauf von 20 weiteren Flugzeugen, die den gesamten Listenpreis auf 26 Billionen Dollar steigen lässt.|Result: the airline also announced that boeing announced it in 2011 at the dubai <unk> , an option to purchase 20 more aircraft that will increase the total amount of aircraft to $ 26 trillion . <eos>|Target: The airline also has an option to buy 20 more planes, which would push the total list price to $26 billion, Boeing announced at the 2011 Dubai Air Show.
Source: Am Montag bestellte dann laut Boeing Oman Air sechs Boeing 787-8, den so genannten Dreamliner, der den Benzinverbrauch und den Komfort der Passagiere enorm verbessert.|Result: on monday , after boeing oman air ordered six boeing 787 - 8 , the so - called <unk> , which greatly improves passenger comfort . <eos>|Target: Then on Monday, Boeing said Oman Air ordered six Boeing 787-8s, the so-called Dreamliner, which boasts dramatically better fuel economy and passenger amenities.
Source: Der Listenpreis für sechs dieser Flugzeuge liegt bei mehr als 1 Billion Dollar.|Result: the <unk> for six of these aircraft is more than $ 1 trillion . <eos>|Target: List price for six of those is more than $1 billion.
Source: "Das ist absolut positiv für Boeing", sagte Neal Dihora, Börsenfachmann von Morningstar.|Result: " this is absolutely positive for boeing " , said <unk> <unk> , <unk> of <unk> . <eos>|Target: "This is clearly a huge positive for Boeing," Morningstar analyst Neal Dihora said.
